product_code,fiscal_year,gross_price
A0118150101,2020,16.2323
A0118150101,2021,19.0573
A0118150102,2020,19.8577
A0118150102,2021,21.4565
A0118150103,2020,22.1317
A0118150103,2021,21.7795
A0118150104,2020,20.7734
A0118150104,2021,22.9729
A0219150201,2020,22.2298
A0219150201,2021,23.6987
A0219150202,2020,24.1562
A0219150202,2021,24.7312
A0220150203,2020,23.9193
A0220150203,2021,23.6154
A0320150301,2020,22.2856
A0320150301,2021,23.7223
A0321150302,2021,27.1027
A0321150303,2021,28.0059
A0418150101,2020,17.4708
A0418150102,2020,17.0422
A0418150103,2020,17.4436
A0418150103,2021,19.5235
A0418150104,2020,19.0484
A0418150104,2021,19.9239
A0418150105,2020,18.5592
A0418150105,2021,20.0766
A0418150106,2020,17.7022
A0418150106,2021,19.9365
A0418150107,2020,20.8163
A0418150108,2020,19.1964
A0519150201,2020,21.9777
A0519150201,2021,22.3984
A0519150202,2020,24.1658
A0519150202,2021,24.9298
A0519150203,2020,24.3127
A0519150203,2021,26.5871
A0519150204,2020,24.7823
A0519150204,2021,26.1081
A0519150205,2020,27.2201
A0519150205,2021,29.7008
A0519150206,2020,26.4794
A0519150206,2021,31.2439
A0519150207,2020,27.4563
A0519150207,2021,32.4427
A0519150208,2020,29.7525
A0519150208,2021,30.5816
A0619150301,2020,29.3716
A0619150301,2021,30.4696
A0619150302,2020,31.6222
A0619150302,2021,34.0973
