product_code,cost_year,manufacturing_cost
A0118150101,2020,5.0207
A0118150101,2021,5.5172
A0118150102,2020,5.7180
A0118150102,2021,6.2835
A0118150103,2020,6.3264
A0118150103,2021,6.5900
A0118150104,2020,6.4789
A0118150104,2021,6.8199
A0219150201,2020,6.4858
A0219150201,2021,7.0498
A0219150202,2020,7.0590
A0219150202,2021,7.2031
A0220150203,2020,7.0621
A0220150203,2021,7.3563
A0320150301,2020,6.8414
A0320150301,2021,7.3563
A0321150302,2021,7.8161
A0321150303,2021,8.4291
A0418150101,2020,5.0759
A0418150102,2020,5.2169
A0418150103,2020,5.3448
A0418150103,2021,5.7471
A0418150104,2020,5.6490
A0418150104,2021,5.8238
A0418150105,2020,5.3579
A0418150105,2021,5.8238
A0418150106,2020,5.2996
A0418150106,2021,5.8238
A0418150107,2020,6.0077
A0418150108,2020,5.9923
A0519150201,2020,6.3264
A0519150201,2021,6.5900
A0519150202,2020,7.3594
A0519150202,2021,7.5096
A0519150203,2020,7.1126
A0519150203,2021,7.8161
A0519150204,2020,7.7241
A0519150204,2021,8.0460
A0519150205,2020,8.3379
A0519150205,2021,8.9655
A0519150206,2020,8.2069
A0519150206,2021,9.1188
A0519150207,2020,8.5303
A0519150207,2021,9.2720
A0519150208,2020,8.6008
A0519150208,2021,9.3487
A0619150301,2020,8.9318
A0619150301,2021,9.5019
A0619150302,2020,9.3640
A0619150302,2021,9.9617
