customer_code,fiscal_year,pre_invoice_discount_pct
70002017,2020,0.0735
70002017,2021,0.0703
70002018,2020,0.2255
70002018,2021,0.2061
70003181,2020,0.0531
70003181,2021,0.0974
70003182,2020,0.1823
70003182,2021,0.2065
70004069,2020,0.0576
70004069,2021,0.1068
70004070,2020,0.2054
70004070,2021,0.2612
70005163,2020,0.2578
70005163,2021,0.2471
70006157,2020,0.0765
70006157,2021,0.0858
70006158,2020,0.2391
70006158,2021,0.2450
70007198,2020,0.0703
70007198,2021,0.0736
70007199,2020,0.2123
70007199,2021,0.2105
70008169,2020,0.0975
70008169,2021,0.0793
70008170,2020,0.2207
70008170,2021,0.1817
70009133,2020,0.1086
70009133,2021,0.0961
70009134,2020,0.2029
70009134,2021,0.2899
70010047,2020,0.0804
70010047,2021,0.0552
70010048,2020,0.2129
70010048,2021,0.2205
70011193,2020,0.0643
70011193,2021,0.1056
70011194,2020,0.1917
70011194,2021,0.1859
70012042,2020,0.0987
70012042,2021,0.0936
70012043,2020,0.1973
70012043,2021,0.2287
70013125,2020,0.0830
70013125,2021,0.1041
70013126,2020,0.2396
70013126,2021,0.2873
70014142,2020,0.0577
70014142,2021,0.0962
70014143,2020,0.1984
70014143,2021,0.2674
